fold,sample_id,obj_name,baseline_miou,original_miou,original_iter,original_non_degraded,original_fallback,original_delta_vs_baseline,original_delta_vs_original,support_fg_miou,support_fg_iter,support_fg_fallback,support_fg_non_degraded,support_fg_delta_vs_baseline,support_fg_delta_vs_original,support_decoder_fg_miou,support_decoder_fg_iter,support_decoder_fg_fallback,support_decoder_fg_non_degraded,support_decoder_fg_delta_vs_baseline,support_decoder_fg_delta_vs_original
1,fold1:763_class-7,763_class-7,0.99693787,0.55083692,4,0,0,-0.44610095,0.00000000,0.99693787,0,1,1,0.00000000,0.44610095,0.99693787,0,1,1,0.00000000,0.44610095
1,fold1:764_class-8,764_class-8,0.75906754,0.68197513,5,0,0,-0.07709241,0.00000000,0.75906754,0,1,1,0.00000000,0.07709241,0.75906754,0,1,1,0.00000000,0.07709241
1,fold1:765_class-7,765_class-7,0.35326117,0.35326117,0,1,0,0.00000000,0.00000000,0.35326117,0,0,1,0.00000000,0.00000000,0.35326117,0,0,1,0.00000000,0.00000000
1,fold1:766_class-9,766_class-9,0.54726267,0.36762482,4,0,0,-0.17963785,0.00000000,0.36762482,4,0,0,-0.17963785,0.00000000,0.36762482,4,0,0,-0.17963785,0.00000000
1,fold1:767_class-5,767_class-5,0.96583962,0.92837101,1,0,0,-0.03746861,0.00000000,0.96583962,0,1,1,0.00000000,0.03746861,0.96583962,0,1,1,0.00000000,0.03746861
1,fold1:768_class-7,768_class-7,0.98965484,0.94196677,2,0,0,-0.04768807,0.00000000,0.94196677,2,0,0,-0.04768807,0.00000000,0.98965484,0,1,1,0.00000000,0.04768807
1,fold1:769_class-6,769_class-6,0.92355675,0.95244038,3,1,0,0.02888364,0.00000000,0.92355675,0,1,1,0.00000000,-0.02888364,0.92355675,0,1,1,0.00000000,-0.02888364
1,fold1:770_class-8,770_class-8,0.99280220,0.94040418,5,0,0,-0.05239803,0.00000000,0.99280220,0,1,1,0.00000000,0.05239803,0.99280220,0,1,1,0.00000000,0.05239803
1,fold1:771_class-6,771_class-6,0.93074858,0.34098747,4,0,0,-0.58976111,0.00000000,0.34098747,4,0,0,-0.58976111,0.00000000,0.34098747,4,0,0,-0.58976111,0.00000000
1,fold1:772_class-6,772_class-6,0.16893850,0.17347871,1,1,0,0.00454021,0.00000000,0.17347871,1,0,1,0.00454021,0.00000000,0.17347871,1,0,1,0.00454021,0.00000000
