generator,benchmark,num_episodes,threshold,accepted_count,coverage,degradation_count,conditional_degradation_risk,conditional_excess_miou_loss,conditional_mean_delta_miou,mean_baseline_miou,overall_selected_miou,overall_gain_over_baseline,overall_ndr,baseline_output_rate,gate_fallback_rate,maximum_refinement_coverage,is_default_tau,is_original_endpoint
Matcher,FSS-1000,2400,-0.0030265450477600098,1620,0.675,649,0.4006172839506173,0.004537722886896428,0.032364815990095615,0.884484056958269,0.9063303077515836,0.02184625079331454,0.7295833333333333,0.32499999999999996,0.15666666666666668,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0030575990676879883,1621,0.6754166666666667,649,0.40037014188772363,0.0045349235513708905,0.032344889919860155,0.884484056958269,0.9063303346916413,0.021846277733372214,0.7295833333333333,0.32458333333333333,0.15625,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0030899643898010254,1622,0.6758333333333333,650,0.4007398273736128,0.004532896795306635,0.03232417942964128,0.884484056958269,0.9063298148894683,0.021845757931199236,0.7291666666666667,0.3241666666666667,0.15583333333333332,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003111720085144043,1623,0.67625,650,0.4004929143561306,0.004530103882925053,0.03230485849992561,0.884484056958269,0.9063302175188437,0.021846160560574694,0.7291666666666667,0.32375,0.15541666666666668,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.00311201810836792,1624,0.6766666666666666,651,0.40086206896551724,0.004527941763657948,0.032284338992109675,0.884484056958269,0.9063297930095966,0.021845736051327547,0.72875,0.32333333333333336,0.155,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003112614154815674,1625,0.6770833333333334,652,0.4012307692307692,0.0045255553309734055,0.032264071713559904,0.884484056958269,0.9063295221809919,0.021845465222722852,0.7283333333333333,0.32291666666666663,0.15458333333333332,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003113269805908203,1626,0.6775,653,0.4015990159901599,0.004522926596807818,0.03224407460083464,0.884484056958269,0.9063294175003345,0.021845360542065463,0.7279166666666667,0.3225,0.15416666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0031452178955078125,1627,0.6779166666666666,653,0.4013521819299324,0.004520146678801175,0.03230362620574469,0.884484056958269,0.9063832235569135,0.021899166598644416,0.7279166666666667,0.3220833333333334,0.15375,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003217458724975586,1628,0.6783333333333333,654,0.40171990171990174,0.004517661901854473,0.03228349195757803,0.884484056958269,0.9063830256694928,0.021898968711223765,0.7275,0.32166666666666666,0.15333333333333332,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0032179951667785645,1629,0.67875,654,0.4014732965009208,0.004514888628740996,0.032266327169391644,0.884484056958269,0.9063848265244936,0.021900769566224578,0.7275,0.32125000000000004,0.15291666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0032500028610229492,1630,0.6791666666666667,655,0.401840490797546,0.004512137846529849,0.03224651278853645,0.884484056958269,0.9063848135604834,0.021900756602214338,0.7270833333333333,0.3208333333333333,0.1525,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003301382064819336,1631,0.6795833333333333,656,0.40220723482526055,0.00451150897874341,0.03222460416359753,0.884484056958269,0.9063833608711138,0.02189930391284482,0.7266666666666667,0.3204166666666667,0.15208333333333332,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003302335739135742,1632,0.68,657,0.4025735294117647,0.004508856852885847,0.032204746416206104,0.884484056958269,0.9063832845212891,0.02189922756302015,0.7262500000000001,0.31999999999999995,0.15166666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003305494785308838,1633,0.6804166666666667,657,0.40232700551132883,0.004506095764794674,0.0321850933089501,0.884484056958269,0.9063833308639005,0.021899273905631466,0.7262500000000001,0.31958333333333333,0.15125,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003345012664794922,1634,0.6808333333333333,657,0.40208078335373315,0.004503338056248288,0.032178401711341016,0.884484056958269,0.9063921854567404,0.021908128498471343,0.7262500000000001,0.3191666666666667,0.15083333333333335,0.8316666666666667,0,0
