obj_name,original_iter,original_miou,baseline_miou_original,oracle_miou_original,guarded_iter,guarded_miou,baseline_miou_guarded,oracle_miou_guarded,guarded_delta_vs_original,original_delta_vs_baseline,guarded_delta_vs_baseline,original_non_degraded,guarded_non_degraded,ndr_transition,benchmark,fallback_applied_x,fallback_applied_y,ndr_delta
262_class-44,3,0.2530830801,0.1299077272,0.2530830801,3,0.2530830801,0.1299077272,0.2530830801,0.0000000000,0.1231753528,0.1231753528,1,1,,COCO-20i,False,False,0.0000000000
263_class-44,5,0.9367961884,0.9371477365,0.9373085499,0,0.9371477365,0.9371477365,0.9373085499,0.0003515482,-0.0003515482,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
264_class-68,1,0.8137552738,0.9343987703,0.9404002428,1,0.8137552738,0.9343987703,0.9404002428,0.0000000000,-0.1206434965,-0.1206434965,0,0,,COCO-20i,False,False,0.0000000000
265_class-24,1,0.9420844913,0.9422488213,0.9422488213,1,0.9420844913,0.9422488213,0.9422488213,0.0000000000,-0.0001643300,-0.0001643300,0,0,,COCO-20i,False,False,0.0000000000
266_class-20,2,0.8828037381,0.8947573304,0.8967458010,0,0.8947573304,0.8947573304,0.8967458010,0.0119535923,-0.0119535923,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
267_class-12,3,0.9632313251,0.9632852077,0.9632852077,3,0.9632313251,0.9632852077,0.9632852077,0.0000000000,-0.0000538826,-0.0000538826,0,0,,COCO-20i,False,False,0.0000000000
268_class-56,1,0.7605266571,0.6855930686,0.7605266571,1,0.7605266571,0.6855930686,0.7605266571,0.0000000000,0.0749335885,0.0749335885,1,1,,COCO-20i,False,False,0.0000000000
269_class-52,0,0.4255925417,0.4255925417,0.4675162435,0,0.4255925417,0.4255925417,0.4675162435,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
270_class-4,2,0.6843511462,0.7006503344,0.7331042290,2,0.6843511462,0.7006503344,0.7331042290,0.0000000000,-0.0162991881,-0.0162991881,0,0,,COCO-20i,False,False,0.0000000000
271_class-72,1,0.8870478868,0.9046211839,0.9120821953,0,0.9046211839,0.9046211839,0.9120821953,0.0175732970,-0.0175732970,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
