benchmark,seed,fold,method,obj_name,baseline_miou,selected_miou,selected_iter,fallback,non_degraded,oracle_miou
FSS-1000,42,0,original,177_class-777,0.9233904481,0.5780219436,4,0,0,0.9233904481
FSS-1000,42,0,original,178_class-777,0.5288969874,0.5735672116,5,0,1,0.7062071562
FSS-1000,42,0,original,179_class-777,0.9397276640,0.9397491217,2,0,1,0.9400186539
FSS-1000,42,0,original,180_class-778,0.5830788612,0.6697746515,3,0,1,0.6706768274
FSS-1000,42,0,original,181_class-778,0.6373525858,0.6375731230,2,0,1,0.9763126373
FSS-1000,42,0,original,182_class-778,0.6082117558,0.6078292131,1,0,0,0.6082117558
FSS-1000,42,0,original,183_class-778,0.2700238526,0.2943052053,3,0,1,0.2943052053
FSS-1000,42,0,original,184_class-778,0.9357638955,0.9348773956,2,0,0,0.9357638955
FSS-1000,42,0,original,185_class-778,0.5498123765,0.8046213388,4,0,1,0.8063737154
FSS-1000,42,0,original,186_class-778,0.1282024980,0.9822570086,3,0,1,0.9822570086
FSS-1000,42,0,original,187_class-778,0.6481069326,0.6529589295,2,0,1,0.9593656063
FSS-1000,42,0,original,188_class-778,0.4873157144,0.8816249371,4,0,1,0.8816249371
FSS-1000,42,0,original,189_class-778,0.9770891070,0.9770891070,0,0,1,0.9779266119
FSS-1000,42,0,original,190_class-779,0.8997965455,0.8997212052,4,0,0,0.9056817293
FSS-1000,42,0,original,191_class-779,0.9801280499,0.9792106748,3,0,0,0.9801280499
FSS-1000,42,0,original,192_class-779,0.9847315550,0.9846227169,1,0,0,0.9847315550
FSS-1000,42,0,original,193_class-779,0.9779018760,0.9782029390,5,0,1,0.9791994095
FSS-1000,42,0,original,194_class-779,0.7976137996,0.7979625463,4,0,1,0.7984091043
FSS-1000,42,0,original,195_class-779,0.9570522308,0.9564357996,2,0,0,0.9570522308
FSS-1000,42,0,original,196_class-779,0.7118775845,0.7115885019,5,0,0,0.7120578289
FSS-1000,42,0,original,197_class-779,0.9690519571,0.9688918591,2,0,0,0.9691670537
FSS-1000,42,0,original,198_class-779,0.9669381380,0.9527485371,3,0,0,0.9669381380
FSS-1000,42,0,original,199_class-779,0.7122250795,0.8926261663,4,0,1,0.8926727772
FSS-1000,42,0,original,200_class-780,0.9838687778,0.9838345051,5,0,0,0.9838687778
FSS-1000,42,0,original,201_class-780,0.9830720425,0.9830915332,4,0,1,0.9831172228
FSS-1000,42,0,original,202_class-780,0.8894149065,0.8890702724,4,0,0,0.8894149065
FSS-1000,42,0,original,203_class-780,0.9821614027,0.9821614027,0,0,1,0.9822454453
FSS-1000,42,0,original,204_class-780,0.1688513160,0.9705303907,2,0,1,0.9721380472
FSS-1000,42,0,original,205_class-780,0.9803336263,0.9803336263,0,0,1,0.9806993008
FSS-1000,42,0,original,206_class-780,0.9725574255,0.9726374745,1,0,1,0.9726374745
FSS-1000,42,0,original,207_class-780,0.9533124566,0.9533630610,4,0,1,0.9533630610
FSS-1000,42,0,original,208_class-780,0.9787946939,0.9787946939,0,0,1,0.9788479805
FSS-1000,42,0,original,209_class-780,0.9810311794,0.9811978340,5,0,1,0.9812674522
FSS-1000,42,0,original,210_class-781,0.9614926577,0.9616122246,3,0,1,0.9619630575
FSS-1000,42,0,original,211_class-781,0.9485685825,0.9491350651,5,0,1,0.9491350651
FSS-1000,42,0,original,212_class-781,0.9605567455,0.9605845213,4,0,1,0.9607486725
FSS-1000,42,0,original,213_class-781,0.9582529068,0.9578902125,2,0,0,0.9582529068
FSS-1000,42,0,original,214_class-781,0.9777125120,0.2993277609,1,0,0,0.9778280258
FSS-1000,42,0,original,215_class-781,0.9775060415,0.9774451256,3,0,0,0.9775993824
FSS-1000,42,0,original,216_class-781,0.9471555352,0.9472621083,3,0,1,0.9472621083
FSS-1000,42,0,original,217_class-781,0.8356389999,0.8354080915,4,0,0,0.8358759880
FSS-1000,42,0,original,218_class-781,0.9725213647,0.9723930955,1,0,0,0.9725276232
FSS-1000,42,0,original,219_class-781,0.9635213614,0.9635213614,0,0,1,0.9636555910
FSS-1000,42,0,original,220_class-782,0.9880328178,0.9878220558,3,0,0,0.9881749153
FSS-1000,42,0,original,221_class-782,0.9164037704,0.6480332613,4,0,0,0.9623949528
FSS-1000,42,0,original,222_class-782,0.9737659693,0.9735941291,4,0,0,0.9737659693
FSS-1000,42,0,original,223_class-782,0.7199295759,0.9739906788,3,0,1,0.9739906788
FSS-1000,42,0,original,224_class-782,0.9809291959,0.7088906765,4,0,0,0.9809291959
FSS-1000,42,0,original,225_class-782,0.9860159159,0.9861532450,5,0,1,0.9862371087
FSS-1000,42,0,original,226_class-782,0.5795665979,0.5795665979,0,0,1,0.9780367613
FSS-1000,42,0,original,227_class-782,0.9598089457,0.9597545862,4,0,0,0.9598840475
FSS-1000,42,0,original,228_class-782,0.4404325485,0.4405526817,3,0,1,0.7715706825
FSS-1000,42,0,original,229_class-782,0.9889683723,0.9891011715,4,0,1,0.9891011715
FSS-1000,42,0,original,230_class-783,0.3560434282,0.5552943945,4,0,1,0.5563185215
FSS-1000,42,0,original,231_class-783,0.9793304205,0.5952950716,5,0,0,0.9796335697
FSS-1000,42,0,original,232_class-783,0.8809537888,0.7957946062,1,0,0,0.9827316999
FSS-1000,42,0,original,233_class-783,0.4963589609,0.7136162519,5,0,1,0.8382015228
FSS-1000,42,0,original,234_class-783,0.9810605049,0.8175348639,1,0,0,0.9810605049
FSS-1000,42,0,original,235_class-783,0.6858979464,0.6860024929,2,0,1,0.8360975981
FSS-1000,42,0,original,236_class-783,0.9725677967,0.9725677967,0,0,1,0.9727164507
FSS-1000,42,0,original,237_class-783,0.9853383303,0.9849749804,2,0,0,0.9853383303
FSS-1000,42,0,original,238_class-783,0.9734518528,0.9705619812,4,0,0,0.9767245054
FSS-1000,42,0,original,239_class-783,0.8632587790,0.9458820224,2,0,1,0.9507011175
FSS-1000,42,0,original,240_class-784,0.9804763794,0.9800958633,3,0,0,0.9806979895
FSS-1000,42,0,original,241_class-784,0.9678320289,0.9681506157,4,0,1,0.9681506157
FSS-1000,42,0,original,242_class-784,0.8801372051,0.8981332183,5,0,1,0.9006998539
FSS-1000,42,0,original,243_class-784,0.9707707167,0.9065507650,5,0,0,0.9707707167
FSS-1000,42,0,original,244_class-784,0.0392317064,0.9510992765,4,0,1,0.9518767595
FSS-1000,42,0,original,245_class-784,0.9610443115,0.9613456726,5,0,1,0.9617680311
FSS-1000,42,0,original,246_class-784,0.3307414949,0.7480539083,4,0,1,0.7480539083
FSS-1000,42,0,original,247_class-784,0.9718540907,0.9739825726,2,0,1,0.9740450382
FSS-1000,42,0,original,248_class-784,0.9611146450,0.9606227875,5,0,0,0.9614056349
FSS-1000,42,0,original,249_class-784,0.8693190217,0.6998399496,4,0,0,0.9473850727
FSS-1000,42,0,original,250_class-785,0.5940402746,0.8712707758,3,0,1,0.8712707758
FSS-1000,42,0,original,251_class-785,0.9747345448,0.9759167433,5,0,1,0.9808524847
FSS-1000,42,0,original,252_class-785,0.6824761629,0.6788984537,4,0,0,0.7031475306
FSS-1000,42,0,original,253_class-785,0.9822181463,0.9831656218,2,0,1,0.9831656218
FSS-1000,42,0,original,254_class-785,0.9787113667,0.9786381721,1,0,0,0.9787113667
FSS-1000,42,0,original,255_class-785,0.9854296446,0.9853998423,5,0,0,0.9856958985
FSS-1000,42,0,original,256_class-785,0.9557658434,0.9557112455,1,0,0,0.9557658434
FSS-1000,42,0,original,257_class-785,0.9595956802,0.9597411156,5,0,1,0.9597411156
FSS-1000,42,0,original,258_class-785,0.9838310480,0.9838541746,4,0,1,0.9839447737
FSS-1000,42,0,original,259_class-785,0.9892798662,0.9893050790,4,0,1,0.9893380404
FSS-1000,42,0,original,260_class-786,0.9788457155,0.9787601233,3,0,0,0.9789692760
FSS-1000,42,0,original,261_class-786,0.9904009104,0.9904242754,1,0,1,0.9906738400
FSS-1000,42,0,original,262_class-786,0.9888788462,0.9888788462,0,0,1,0.9888788462
FSS-1000,42,0,original,263_class-786,0.9853520989,0.9852334261,3,0,0,0.9853520989
FSS-1000,42,0,original,264_class-786,0.9881209135,0.9876396656,3,0,0,0.9882712960
FSS-1000,42,0,original,265_class-786,0.9821192026,0.9821198583,3,0,1,0.9821844697
FSS-1000,42,0,original,266_class-786,0.9751216769,0.9761394262,3,0,1,0.9761394262
FSS-1000,42,0,original,267_class-786,0.9717539549,0.9780250192,2,0,1,0.9780888557
FSS-1000,42,0,original,268_class-786,0.9686000347,0.9690972567,3,0,1,0.9690972567
FSS-1000,42,0,original,269_class-786,0.9791846275,0.9791221619,4,0,0,0.9815191627
FSS-1000,42,0,original,270_class-787,0.4709954262,0.8880070448,4,0,1,0.8880070448
FSS-1000,42,0,original,271_class-787,0.7806199789,0.9456811547,3,0,1,0.9456811547
FSS-1000,42,0,original,272_class-787,0.8849917054,0.8849917054,0,0,1,0.8880465031
FSS-1000,42,0,original,273_class-787,0.2213799059,0.9271026850,3,0,1,0.9271026850
FSS-1000,42,0,original,274_class-787,0.9482432604,0.8842135668,2,0,0,0.9486870766
FSS-1000,42,0,original,275_class-787,0.7849831581,0.9583334923,3,0,1,0.9583334923
FSS-1000,42,0,original,276_class-787,0.9548354149,0.9585111141,4,0,1,0.9625098705
FSS-1000,42,0,original,277_class-787,0.9513015747,0.9517483115,2,0,1,0.9518601894
FSS-1000,42,0,original,278_class-787,0.3021854162,0.8698686361,4,0,1,0.9525207281
FSS-1000,42,0,original,279_class-787,0.9280208945,0.9269714355,5,0,0,0.9288904667
FSS-1000,42,0,original,280_class-788,0.9479711056,0.9486633539,5,0,1,0.9486633539
FSS-1000,42,0,original,281_class-788,0.9589924812,0.9605572224,1,0,1,0.9606736898
FSS-1000,42,0,original,282_class-788,0.9308944941,0.9300810099,2,0,0,0.9309638143
FSS-1000,42,0,original,283_class-788,0.9268831611,0.9267579317,3,0,0,0.9270218015
FSS-1000,42,0,original,284_class-788,0.9537048340,0.9537048340,0,0,1,0.9542575479
FSS-1000,42,0,original,285_class-788,0.9677710533,0.9674401283,3,0,0,0.9677710533
FSS-1000,42,0,original,286_class-788,0.9588110447,0.9611974955,3,0,1,0.9611974955
FSS-1000,42,0,original,287_class-788,0.9602928162,0.9633731842,3,0,1,0.9634686708
FSS-1000,42,0,original,288_class-788,0.9538489580,0.9538489580,0,0,1,0.9538489580
FSS-1000,42,0,original,289_class-788,0.9249737263,0.9315974116,4,0,1,0.9315974116
FSS-1000,42,0,original,290_class-789,0.9418227673,0.9418811798,2,0,1,0.9418811798
FSS-1000,42,0,original,291_class-789,0.9439364672,0.9441186190,4,0,1,0.9441186190
FSS-1000,42,0,original,292_class-789,0.9389706850,0.9580738544,5,0,1,0.9580738544
FSS-1000,42,0,original,293_class-789,0.9641407728,0.9641311765,2,0,0,0.9643210173
FSS-1000,42,0,original,294_class-789,0.0339804254,0.9555900097,1,0,1,0.9557824135
FSS-1000,42,0,original,295_class-789,0.8759738207,0.8745335340,3,0,0,0.9264247417
FSS-1000,42,0,original,296_class-789,0.9528365135,0.9532046318,5,0,1,0.9666541815
FSS-1000,42,0,original,297_class-789,0.9586915374,0.9586915374,0,0,1,0.9588820934
