generator,benchmark,seed,fold,obj_name,proposal_iter,proposal_nonbaseline,baseline_miou,proposal_miou,proposal_delta_miou,support_margin,foreground_margin,gate_margin,proposal_degraded,source_file
PerSAM-F-compatible,FSS-1000,44,0,570_class-817,1,1,0.9065201282501221,0.9066162705421448,9.614229202270508e-05,-3.0159950256347656e-05,0.00025159120559692383,-3.0159950256347656e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,571_class-817,4,1,0.9306156635284424,0.9291368722915649,-0.0014787912368774414,-0.00019949674606323242,0.00352555513381958,-0.00019949674606323242,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,572_class-817,5,1,0.631096601486206,0.9594981670379639,0.3284015655517578,-0.003965795040130615,0.013195395469665527,-0.003965795040130615,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,573_class-817,4,1,0.858578085899353,0.859304666519165,0.0007265806198120117,-4.6372413635253906e-05,0.0008483529090881348,-4.6372413635253906e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,574_class-817,2,1,0.03817104548215866,0.9493826627731323,0.9112116172909737,0.2442861795425415,0.46599555015563965,0.2442861795425415,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,575_class-817,2,1,0.8880892992019653,0.9304882287979126,0.042398929595947266,-0.00040262937545776367,0.017276287078857422,-0.00040262937545776367,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,576_class-817,5,1,0.9244539737701416,0.9247241020202637,0.0002701282501220703,2.008676528930664e-05,7.164478302001953e-05,2.008676528930664e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,577_class-817,1,1,0.026561172679066658,0.9601628184318542,0.9336016457527876,0.09429788589477539,0.9895092248916626,0.09429788589477539,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,578_class-817,5,1,0.9022453427314758,0.9014272689819336,-0.0008180737495422363,2.276897430419922e-05,0.0033107399940490723,2.276897430419922e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,579_class-817,0,0,0.9034024477005005,0.9034024477005005,0.0,nan,nan,nan,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,580_class-818,1,1,0.48925235867500305,0.8505312204360962,0.36127886176109314,0.018371284008026123,0.023082435131072998,0.018371284008026123,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,581_class-818,3,1,0.8146888017654419,0.9421118497848511,0.12742304801940918,-0.003966987133026123,0.03957533836364746,-0.003966987133026123,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,582_class-818,1,1,0.9663815498352051,0.9710656404495239,0.004684090614318848,0.0009077191352844238,0.018170475959777832,0.0009077191352844238,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,583_class-818,1,1,0.9771361351013184,0.9772340059280396,9.78708267211914e-05,0.0002015233039855957,-4.8100948333740234e-05,-4.8100948333740234e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,584_class-818,5,1,0.9933894276618958,0.9934516549110413,6.222724914550781e-05,5.894899368286133e-05,0.000413358211517334,5.894899368286133e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,585_class-818,5,1,0.970583975315094,0.9683653116226196,-0.0022186636924743652,0.00036960840225219727,0.0036649107933044434,0.00036960840225219727,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,586_class-818,3,1,0.9892269968986511,0.9891374111175537,-8.958578109741211e-05,-6.836652755737305e-05,-0.0003057718276977539,-0.0003057718276977539,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,587_class-818,4,1,0.9479433298110962,0.9475893974304199,-0.00035393238067626953,0.00019556283950805664,-0.00018781423568725586,-0.00018781423568725586,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,588_class-818,0,0,0.9922502040863037,0.9922502040863037,0.0,nan,nan,nan,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,589_class-818,2,1,0.9395607113838196,0.9402226209640503,0.0006619095802307129,-0.0001608729362487793,0.00030303001403808594,-0.0001608729362487793,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,590_class-819,1,1,0.9204098582267761,0.9215492010116577,0.0011393427848815918,0.0001519918441772461,-0.0016013383865356445,-0.0016013383865356445,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,591_class-819,1,1,0.7799340486526489,0.9480891227722168,0.16815507411956787,0.0038076043128967285,0.005078136920928955,0.0038076043128967285,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,592_class-819,5,1,0.9550089240074158,0.9549145698547363,-9.435415267944336e-05,-1.1861324310302734e-05,6.16908073425293e-05,-1.1861324310302734e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,593_class-819,1,1,0.686778724193573,0.9385643005371094,0.2517855763435364,0.0028624534606933594,0.0014142394065856934,0.0014142394065856934,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,594_class-819,5,1,0.8635401725769043,0.6994085311889648,-0.16413164138793945,0.0033845901489257812,-0.007425248622894287,-0.007425248622894287,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,595_class-819,0,0,0.9405531883239746,0.9405531883239746,0.0,nan,nan,nan,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,596_class-819,2,1,0.9538508057594299,0.9536423683166504,-0.00020843744277954102,-1.710653305053711e-05,-0.00017833709716796875,-0.00017833709716796875,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,597_class-819,2,1,0.9392803907394409,0.9385523796081543,-0.0007280111312866211,-7.396936416625977e-05,0.0006017684936523438,-7.396936416625977e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,598_class-819,2,1,0.9783865213394165,0.9710172414779663,-0.007369279861450195,0.0014838576316833496,0.0037555694580078125,0.0014838576316833496,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,599_class-819,3,1,0.9086922407150269,0.8502349257469177,-0.05845731496810913,-3.886222839355469e-05,-0.0017583370208740234,-0.0017583370208740234,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
