sample_id,seed,obj_name,baseline_miou,original_miou,support_fg_miou,original_iter,support_fg_iter,support_fg_fallback,original_non_degraded,support_fg_non_degraded,delta_support_fg_vs_original,delta_original_vs_baseline,delta_support_fg_vs_baseline
seed43:278_class-24,43,278_class-24,0.27089638,0.43464991,0.43464991,2,2,0,1,1,0.00000000,0.16375354,0.16375354
seed43:279_class-60,43,279_class-60,0.22834390,0.29656371,0.29656371,4,4,0,1,1,0.00000000,0.06821981,0.06821981
seed43:280_class-68,43,280_class-68,0.44012091,0.44782987,0.44782987,4,4,0,1,1,0.00000000,0.00770897,0.00770897
seed43:281_class-76,43,281_class-76,0.41630268,0.47125491,0.41630268,2,0,1,1,1,-0.05495223,0.05495223,0.00000000
seed43:282_class-56,43,282_class-56,0.40621227,0.40605575,0.40605575,5,5,0,0,0,0.00000000,-0.00015652,-0.00015652
seed43:283_class-24,43,283_class-24,0.46099085,0.45980123,0.45980123,5,5,0,0,0,0.00000000,-0.00118962,-0.00118962
seed43:284_class-24,43,284_class-24,0.19515614,0.40631849,0.40631849,1,1,0,1,1,0.00000000,0.21116234,0.21116234
seed43:285_class-64,43,285_class-64,0.32736903,0.57810861,0.57810861,3,3,0,1,1,0.00000000,0.25073957,0.25073957
seed43:286_class-72,43,286_class-72,0.39050791,0.39932406,0.39932406,4,4,0,1,1,0.00000000,0.00881615,0.00881615
seed43:287_class-12,43,287_class-12,0.37914962,0.87197739,0.87197739,2,2,0,1,1,0.00000000,0.49282777,0.49282777
seed43:288_class-0,43,288_class-0,0.69405383,0.30885625,0.30885625,5,5,0,0,0,0.00000000,-0.38519758,-0.38519758
seed43:289_class-56,43,289_class-56,0.31117094,0.35568073,0.35568073,1,1,0,1,1,0.00000000,0.04450980,0.04450980
seed43:290_class-0,43,290_class-0,0.59574407,0.59467435,0.59467435,1,1,0,0,0,0.00000000,-0.00106972,-0.00106972
seed43:291_class-52,43,291_class-52,0.24971205,0.28784379,0.28784379,3,3,0,1,1,0.00000000,0.03813174,0.03813174
seed43:292_class-32,43,292_class-32,0.43801150,0.44334647,0.44334647,3,3,0,1,1,0.00000000,0.00533497,0.00533497
seed43:293_class-4,43,293_class-4,0.53393126,0.53387177,0.53387177,2,2,0,0,0,0.00000000,-0.00005949,-0.00005949
seed43:294_class-24,43,294_class-24,0.20816374,0.25626668,0.25626668,1,1,0,1,1,0.00000000,0.04810295,0.04810295
seed43:295_class-8,43,295_class-8,0.20106351,0.10979511,0.10979511,5,5,0,0,0,0.00000000,-0.09126841,-0.09126841
seed43:296_class-76,43,296_class-76,0.44874358,0.49220246,0.49220246,5,5,0,1,1,0.00000000,0.04345888,0.04345888
seed43:297_class-32,43,297_class-32,0.56889570,0.94837564,0.94837564,3,3,0,1,1,0.00000000,0.37947994,0.37947994
seed43:298_class-4,43,298_class-4,0.31186467,0.31182793,0.31186467,2,0,1,0,1,0.00003675,-0.00003675,0.00000000
seed43:299_class-40,43,299_class-40,0.38250771,0.37889826,0.38250771,1,0,1,0,1,0.00360945,-0.00360945,0.00000000
seed44:0_class-0,44,0_class-0,0.93505383,0.93570226,0.93505383,4,0,1,1,1,-0.00064844,0.00064844,0.00000000
seed44:1_class-72,44,1_class-72,0.40683651,0.46174774,0.46174774,2,2,0,1,1,0.00000000,0.05491123,0.05491123
seed44:2_class-68,44,2_class-68,0.16465914,0.20669228,0.16465914,2,0,1,1,1,-0.04203314,0.04203314,0.00000000
seed44:3_class-76,44,3_class-76,0.16956589,0.17063051,0.17063051,4,4,0,1,1,0.00000000,0.00106463,0.00106463
seed44:4_class-36,44,4_class-36,0.42010126,0.42747250,0.42010126,4,0,1,1,1,-0.00737125,0.00737125,0.00000000
seed44:5_class-56,44,5_class-56,0.45181099,0.42618254,0.42618254,5,5,0,0,0,0.00000000,-0.02562845,-0.02562845
seed44:6_class-48,44,6_class-48,0.57547909,0.43361408,0.57547909,2,0,1,0,1,0.14186502,-0.14186502,0.00000000
seed44:7_class-36,44,7_class-36,0.56699771,0.47834894,0.47834894,4,4,0,0,0,0.00000000,-0.08864877,-0.08864877
seed44:8_class-40,44,8_class-40,0.95561206,0.96709883,0.96709883,3,3,0,1,1,0.00000000,0.01148677,0.01148677
seed44:9_class-4,44,9_class-4,0.94159061,0.94230103,0.94230103,5,5,0,1,1,0.00000000,0.00071043,0.00071043
seed44:10_class-0,44,10_class-0,0.27121875,0.27116284,0.27116284,4,4,0,0,0,0.00000000,-0.00005591,-0.00005591
seed44:11_class-68,44,11_class-68,0.57839429,0.39347669,0.39347669,4,4,0,0,0,0.00000000,-0.18491760,-0.18491760
seed44:12_class-40,44,12_class-40,0.47360840,0.46475530,0.47360840,1,0,1,0,1,0.00885311,-0.00885311,0.00000000
seed44:13_class-36,44,13_class-36,0.40901211,0.40901211,0.40901211,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed44:14_class-28,44,14_class-28,0.45579776,0.48328266,0.48328266,1,1,0,1,1,0.00000000,0.02748489,0.02748489
seed44:15_class-72,44,15_class-72,0.56350654,0.44263279,0.44263279,3,3,0,0,0,0.00000000,-0.12087375,-0.12087375
seed44:16_class-52,44,16_class-52,0.25701916,0.31951958,0.25701916,2,0,1,1,1,-0.06250042,0.06250042,0.00000000
seed44:17_class-32,44,17_class-32,0.35963067,0.51420856,0.51420856,4,4,0,1,1,0.00000000,0.15457788,0.15457788
seed44:18_class-72,44,18_class-72,0.10884252,0.15096228,0.15096228,1,1,0,1,1,0.00000000,0.04211976,0.04211976
seed44:19_class-12,44,19_class-12,0.43219659,0.43219659,0.43219659,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed44:20_class-48,44,20_class-48,0.61698020,0.27442905,0.61698020,2,0,1,0,1,0.34255114,-0.34255114,0.00000000
